context,source,target
jefe punto venta,sales office,jefe punto venta
coordinador punto venta,sales office coordinator,coordinador punto venta
coordinador puntos venta,sales office coordinator,coordinador puntos venta
responsable oficina ventas,sales office manager,responsable oficina ventas
responsable ventas compras,sales office manager,responsable ventas compras
oficial ventas,sales officer,oficial ventas
operaciones ventas,sales operations,operaciones ventas
operador ventas,sales operator,operador ventas
promotor de vebtas,sales promoter,promotor de vebtas
promotor venta,sales promoter,promotor venta
promotor ventas productos,sales promoter,promotor ventas productos
delegado de venta,sales representative,delegado de venta
delegado de ventas,sales representative,delegado de ventas
delegado ventas,sales representative,delegado ventas
representante comercial,sales representative,representante comercial
representante de ventas,sales representative,representante de ventas
responsable departamento venta,sales responsible,responsable departamento venta
secretario departamento ventas,sales secretary,secretario departamento ventas
asesor de servicio de post venta,sales service advisor,asesor de servicio de post venta
especialista de venta en tiendas,sales specialist,especialista de venta en tiendas
responsable ventas especiales,sales specialist,responsable ventas especiales
vendedor especializado,sales specialist,vendedor especializado
supervisor de ventas,sales supervisor,supervisor de ventas
soporte de ventas,sales support,soporte de ventas
administrador sistemas soporte tecnico,sales support administrator,administrador sistemas soporte tecnico
administrador sistemas tecnico soporte,sales support administrator,administrador sistemas tecnico soporte
ingeniero soporte ventas,sales support engineer,ingeniero soporte ventas
jefe de equipo de ventas,sales team leader,jefe de equipo de ventas
jefe area obras,sales team manager,jefe area obras
responsable equipo ventas,sales team manager,responsable equipo ventas
tecnico soporte ventas,sales technical support,tecnico soporte ventas
formador ventas,sales trainer,formador ventas
vendedor formador,sales trainer,vendedor formador
personal de ventas,sales worker,personal de ventas
comerciante,salesman,comerciante
dependiente vendedor,salesman,dependiente vendedor
vendedor,salesman,vendedor
vendedor automoviles,salesman,vendedor automoviles
vendedor de herramientas,salesman,vendedor de herramientas
vendedor deportes colectivos,salesman,vendedor deportes colectivos
administrador sap,sap administrator,administrador sap
desarrollador sap,sap developer,desarrollador sap
administrativo sap,sap key user,administrativo sap
jefe sap,sap lead,jefe sap
jefe de proyectos sap,sap project manager,jefe de proyectos sap
montador de andamios,scaffolder,montador de andamios
becario cuentas,scholarship holder,becario cuentas
becario de arte,scholarship holder,becario de arte
coordinador de escuelas de verano,schools coordinator,coordinador de escuelas de verano
profesor de ciencias,science teacher,profesor de ciencias
investigador cientifico,scientific researcher,investigador cientifico
escritor guionista,screenwriter,escritor guionista
guionista,screenwriter,guionista
redactor guionista,screenwriter,redactor guionista
oficial de segunda,second officer,oficial de segunda
profesor ciencias secundaria,secondary teacher,profesor ciencias secundaria
profesor educacion secundaria ingles,secondary teacher,profesor educacion secundaria ingles
secretario,secretary,secretario
secretario administrador,secretary administrator,secretario administrador
jefe secretario,secretary director,jefe secretario
secretario general,secretary general,secretario general
jefe de seccion,section head,jefe de seccion
jefe seccion compras,section leader,jefe seccion compras
jefe tramo,section leader,jefe tramo
encargado seccion,section manager,encargado seccion
responsable seccion,section manager,responsable seccion
gerente de sector,sector manager,gerente de sector
jefe de sector,sector manager,jefe de sector
asesor seguridad,security advisor,asesor seguridad
asesor sistemas seguridad,security advisor,asesor sistemas seguridad
consejero seguridad adr,security advisor,consejero seguridad adr
agentee seguridad,security agent,agentee seguridad
auxiliar seguridad,security agent,auxiliar seguridad
consultor de seguridad,security consultant,consultor de seguridad
consultor seguridad sistemas,security consultant,consultor seguridad sistemas
consultor sistemas seguridad,security consultant,consultor sistemas seguridad
controlador seguridad,security controller,controlador seguridad
coordinador de seguridad,security coordinator,coordinador de seguridad
ingeniero seguridad,security engineer,ingeniero seguridad
vigilante,security guard,vigilante
vigilante de seguridad,security guard,vigilante de seguridad
vigilante jurado,security guard,vigilante jurado
vigilante seguridad privada,security guard,vigilante seguridad privada
encargado de seguridad,security manager,encargado de seguridad
gerente seguridad,security manager,gerente seguridad
gestor seguridad,security manager,gestor seguridad
jefe vigilancia,security manager,jefe vigilancia
oficial seguridad,security officer,oficial seguridad
vigilante jurado seguridad,security officer,vigilante jurado seguridad
operador seguridad,security operator,operador seguridad
responsable segmento,segment manager,responsable segmento
abogado despacho propio,self employed lawyer,abogado despacho propio
personal tienda,seller,personal tienda
vendedor deportes,seller,vendedor deportes
vendedor tienda,seller,vendedor tienda
consultor seo,seo consultant,consultor seo
responsable seo,seo manager,responsable seo
sargento,sergeant,sargento
director serie,series director,director serie
administrador de servidores,server administrator,administrador de servidores
administrador servidores aplicaciones,server administrator,administrador servidores aplicaciones
administrador unico propietario,service administrator,administrador unico propietario
administrativo servicio,service administrator,administrativo servicio
administrativo servicios centrales,service administrator,administrativo servicios centrales
jefe administracion servicios,service administrator,jefe administracion servicios
asesor servicios,service adviser,asesor servicios
asesor de servicio,service advisor,asesor de servicio
asesor energetico pymes,service advisor,asesor energetico pymes
asesor gabinete presidencia,service advisor,asesor gabinete presidencia
agente de servicio,service agent,agente de servicio
agente medio natural,service agent,agente medio natural
auxiliar de servicios,service assistant,auxiliar de servicios
medico adjunto servicio,service assistant,medico adjunto servicio
adjunto jefe servicio,service chief,adjunto jefe servicio
jefe servicio aparato digestivo,service chief,jefe servicio aparato digestivo
jefe servicio comunicaciones,service chief,jefe servicio comunicaciones
jefe servicio personal,service chief,jefe servicio personal
jefe servicio tic,service chief,jefe servicio tic
consultor de servicios,service consultant,consultor de servicios
coordinador de servicio de urgencias,service coordinator,coordinador de servicio de urgencias
coordinador de servicios,service coordinator,coordinador de servicios
coordinador servicio post venta,service coordinator,coordinador servicio post venta
ingeniero puesta servicio,service engineer,ingeniero puesta servicio
director de servicios comerciales,service manager,director de servicios comerciales
encargado servicio,service manager,encargado servicio
gestor de servicios,service manager,gestor de servicios
gestor servicio,service manager,gestor servicio
responsable de servicio,service manager,responsable de servicio
responsable unidad servicio,service manager,responsable unidad servicio
operador servicios atencion,service operator,operador servicios atencion
proveedor servicios,service provider,proveedor servicios
representante servicio atencion,service representative,representante servicio atencion
supervisor servicio,service supervisor,supervisor servicio
jefe equipo team leader,service team leader,jefe equipo team leader
tecnico de servicios,service technician,tecnico de servicios
tecnico instalaciones mantenimiento,service technician,tecnico instalaciones mantenimiento
tecnico puesta servicio,service technician,tecnico puesta servicio
tecnico servicio,service technician,tecnico servicio
asistente servicios,services assistant,asistente servicios
coordinador de servicios profesionales,services coordinator,coordinador de servicios profesionales
coordinador servicios outsourcing,services coordinator,coordinador servicios outsourcing
encargado servicios,services manager,encargado servicios
jefe servicios,services manager,jefe servicios
especialista de servicios,services specialist,especialista de servicios
tecnico de servicios de prevencion,services technician,tecnico de servicios de prevencion
encargado turno,shift controller,encargado turno
coordinador turno,shift coordinator,coordinador turno
jefe de turno,shift manager,jefe de turno
responsable turno,shift manager,responsable turno
supervisor de turno,shift supervisor,supervisor de turno
administrativo de expediciones,shipping assistant,administrativo de expediciones
encargado de expediciones,shipping manager,encargado de expediciones
asesor imagen dependiente,shop assistant,asesor imagen dependiente
asistente tienda,shop assistant,asistente tienda
auxiliar dependiente,shop assistant,auxiliar dependiente
ayudante jefe tienda,shop assistant,ayudante jefe tienda
dependiente almacenero,shop assistant,dependiente almacenero
dependiente bar,shop assistant,dependiente bar
dependiente cajero reponedor,shop assistant,dependiente cajero reponedor
dependiente coordinador,shop assistant,dependiente coordinador
dependiente de punto de venta,shop assistant,dependiente de punto de venta
dependiente grandes almacenes,shop assistant,dependiente grandes almacenes
dependiente imagen sonido,shop assistant,dependiente imagen sonido
dependiente joyeria relojeria,shop assistant,dependiente joyeria relojeria
dependiente moda infantil,shop assistant,dependiente moda infantil
dependiente responsable almacen,shop assistant,dependiente responsable almacen
dependiente responsable tienda,shop assistant,dependiente responsable tienda
dependiente stand,shop assistant,dependiente stand
dependiente telecomunicaciones,shop assistant,dependiente telecomunicaciones
dependiente tienda animales,shop assistant,dependiente tienda animales
dependiente tienda fotografia,shop assistant,dependiente tienda fotografia
dependiente tienda telefonia,shop assistant,dependiente tienda telefonia
dependiente tiendas,shop assistant,dependiente tiendas
encargado almacen dependiente,shop assistant,encargado almacen dependiente
recepcionista dependiente,shop assistant,recepcionista dependiente
encargado almacen compras,shopper marketing manager,encargado almacen compras
auxiliar sala exposiciones,showroom assistant,auxiliar sala exposiciones
interprete de lenguaje de signos,sign language interpreter,interprete de lenguaje de signos
cantante,singer,cantante
cantante coro,singer,cantante coro
cantante guitarrista,singer guitarist,cantante guitarrista
profesor canto,singing teacher,profesor canto
jefe administrativo obras,site administrator,jefe administrativo obras
jefe de obras,site manager,jefe de obras
fresador,skilled metal worker,fresador
entrenador futbol,soccer coach,entrenador futbol
futbolista,soccer player,futbolista
auxiliar social,social assistant,auxiliar social
auxiliar administrativo de servicios sociales,social care officer,auxiliar administrativo de servicios sociales
trabajador social coordinador,social coordinator,trabajador social coordinador
gestor sociales,social manager,gestor sociales
consultor redes sociales,social media consultant,consultor redes sociales
consultor social media,social media consultant,consultor social media
gestor contenidos redes sociales,social media content manager,gestor contenidos redes sociales
coordinador social media,social media coordinator,coordinador social media
medico servicio social obligatorio,social service,medico servicio social obligatorio
cooperacion desarrollo,social work,cooperacion desarrollo
trabajo social,social work,trabajo social
educador social,social worker,educador social
responsable social,social worker,responsable social
trabajador social,social worker,trabajador social
trabajador social / mediador,social worker,trabajador social / mediador
trabajadora social mayores,social worker,trabajadora social mayores
trabajadora social servicios sociales,social worker,trabajadora social servicios sociales
consultor calidad software,software consultant,consultor calidad software
consultor de software,software consultant,consultor de software
desarrollador de software,software developer,desarrollador de software
desarrollador software administrador sistemas,software developer system administrator,desarrollador software administrador sistemas
desarrollador web administrador sistemas,software developer system administrator,desarrollador web administrador sistemas
desarrollo de software,software development,desarrollo de software
jefe desarrollo software,software development,jefe desarrollo software
ingeniero programador,software programmer,ingeniero programador
calidad de software,software quality engineer,calidad de software
militar,soldier,militar
soldado,soldier,soldado
consultor de soluciones,solution consultant,consultor de soluciones
responsable soluciones,solutions coordinator,responsable soluciones
ingeniero soluciones,solutions engineer,ingeniero soluciones
gerente soluciones,solutions manager,gerente soluciones
clasificador,sorter,clasificador
asistente sonido,sound assistant,asistente sonido
auxiliar sonido,sound assistant,auxiliar sonido
disenador de sonido,sound designer,disenador de sonido
ingeniero sonido,sound engineer,ingeniero sonido
tecnico de sonido y audiovisuales,sound lighting technician,tecnico de sonido y audiovisuales
tecnico iluminacion sonido,sound lighting technician,tecnico iluminacion sonido
tecnico sonido iluminacion,sound lighting technician,tecnico sonido iluminacion
tecnico de sonido,sound technician,tecnico de sonido
profesor de lengua espanola,spanish teacher,profesor de lengua espanola
jefe repuestos,spare parts manager,jefe repuestos
locutor presentador,speaker,locutor presentador
ponente,speaker,ponente
ponente colaborador,speaker,ponente colaborador
ponente conferencia,speaker,ponente conferencia
figurante especial,specialist,figurante especial
perito,specialist,perito
perito especializado,specialist,perito especializado
consultor especializado,specialist consultant,consultor especializado
gerente especialistas,specialist manager,gerente especialistas
gestor especializado,specialist manager,gestor especializado
terapeuta ocupacional salud mental,specialist occupational therapist,terapeuta ocupacional salud mental
oficial especializado,specialist officer,oficial especializado
fisioterapeuta practicas universitarias,specialist physiotherapist,fisioterapeuta practicas universitarias
logopedia,specialist speech language therapist,logopedia
profesor ciclo formativo,specialist teacher,profesor ciclo formativo
profesor ciclo superior,specialist teacher,profesor ciclo superior
logopeda,speech therapist,logopeda
maestro logopeda,speech therapist,maestro logopeda
coordinador deportivo,sports coordinator,coordinador deportivo
coordinador monitor deportivo,sports coordinator,coordinador monitor deportivo
director deportivo,sports director,director deportivo
editor deportes,sports editor,editor deportes
redactor deportivo,sports editor,redactor deportivo
redactor informativos deportes,sports editor,redactor informativos deportes
instructora deportiva,sports instructor,instructora deportiva
monitor actividades deportivas,sports instructor,monitor actividades deportivas
monitor deportivo,sports instructor,monitor deportivo
corresponsal deportes,sports journalist,corresponsal deportes
periodista deportes,sports journalist,periodista deportes
periodista deportivo,sports journalist,periodista deportivo
responsable de deportes,sports manager,responsable de deportes
responsable deportivo,sports manager,responsable deportivo
tecnico deportivo,sports officer,tecnico deportivo
profesor deportes,sports teacher,profesor deportes
vendedor material deportivo,sports trader,vendedor material deportivo
jefe de personal,staff manager,jefe de personal
jefe de planta,staff manager,jefe de planta
miembro claustro,staff member,miembro claustro
tecnico de escenario,stage technician,tecnico de escenario
oficial montador andamios,steel erector,oficial montador andamios
soldador montador estructuras metalicas,steel erector welder,soldador montador estructuras metalicas
azafato,steward,azafato
azafato cruceros,steward,azafato cruceros
azafato de tierra,steward,azafato de tierra
azafato vendedor,steward,azafato vendedor
azafato vuelo,steward,azafato vuelo
administrador almacenamiento backup,storage administrator,administrador almacenamiento backup
administrativo tienda,store agent,administrativo tienda
auxiliar de tienda,store assistant,auxiliar de tienda
adjunta tienda,store associate,adjunta tienda
coordinador tiendas,store coordinator,coordinador tiendas
director de tienda,store manager,director de tienda
director tiendas,store manager,director tiendas
encargado de tienda,store manager,encargado de tienda
encargado responsable tienda,store manager,encargado responsable tienda
gerente de establecimiento,store manager,gerente de establecimiento
gerente de tiendas,store manager,gerente de tiendas
gestor de punto de venta,store manager,gestor de punto de venta
gestor tiendas,store manager,gestor tiendas
jefe de tienda,store manager,jefe de tienda
jefe establecimiento,store manager,jefe establecimiento
manager de tienda,store manager,manager de tienda
responsable de tienda,store manager,responsable de tienda
responsable explotacion tienda,store manager,responsable explotacion tienda
responsable punto venta,store manager,responsable punto venta
responsable tienda propia,store manager,responsable tienda propia
vendedor encargado tienda,store sales manager,vendedor encargado tienda
ventas almacen,store sales manager,ventas almacen
supervisor tienda,store supervisor,supervisor tienda
tecnico almacenamiento,store technician,tecnico almacenamiento
ayudante tienda,stores assistant,ayudante tienda
dependiente ayudante almacen,stores assistant,dependiente ayudante almacen
encargado tienda almacen,stores manager,encargado tienda almacen
encargado tienda vendedor,stores manager,encargado tienda vendedor
segunda responsable tienda,stores manager,segunda responsable tienda
director estrategico,strategic director,director estrategico
analista estrategia,strategy analyst,analista estrategia
consultor de estrategia,strategy consultant,consultor de estrategia
director estrategia desarrollo,strategy development manager,director estrategia desarrollo
responsable de estrategia,strategy lead,responsable de estrategia
calculista estructuras,structural designer,calculista estructuras
ingeniero calculista de estructuras,structural engineer,ingeniero calculista de estructuras
ingeniero calculo estructural,structural engineer,ingeniero calculo estructural
ingeniero calculo estructuras,structural engineer,ingeniero calculo estructuras
ingeniero estructuras,structural engineer,ingeniero estructuras
estudiante,student,estudiante
estudiante oposiciones,student,estudiante oposiciones
administrativo estudios,student administrator,administrativo estudios
asesor universitario,student advisor,asesor universitario
coordinador estudiantes,student coordinator,coordinador estudiantes
coordinador estudios,student coordinator,coordinador estudios
alumno investigador,student researcher,alumno investigador
alumno tutor,student tutor,alumno tutor
jefe estudios jefe,studies leader,jefe estudios jefe
responsable estudio,studio manager,responsable estudio
coordinador estudio,study coordinator,coordinador estudio
director belleza,stylist,director belleza
estilista,stylist,estilista
estilista publicidad,stylist,estilista publicidad
administrativo recambios,substitute,administrativo recambios
administrativo sustitucion,substitute,administrativo sustitucion
conserje de ordenanza,superintendent,conserje de ordenanza
jefe superior,supervisor,jefe superior
monitor administrativo,supervisor,monitor administrativo
supervisor,supervisor,supervisor
supervisor cajas,supervisor,supervisor cajas
supervisor cobros,supervisor,supervisor cobros
supervisor departamento,supervisor,supervisor departamento
supervisor equipos,supervisor,supervisor equipos
supervisor pasaje,supervisor,supervisor pasaje
inspector,supervisor inspector,inspector
gestor de proveedores,supplier manager,gestor de proveedores
jefe suministros,supplier manager,jefe suministros
responsable gestion proveedores,supplier manager,responsable gestion proveedores
administrativo departamento proveedores,supply assistant,administrativo departamento proveedores
administrativo dpto proveedores,supply assistant,administrativo dpto proveedores
director cadena suministro,supply chain director,director cadena suministro
jefe de aprovisionamiento,supply manager,jefe de aprovisionamiento
especialista de soporte operativo,supply operations specialist,especialista de soporte operativo
soporte telefonico,support,soporte telefonico
administrador soporte tecnico,support administrator,administrador soporte tecnico
analista de soporte,support analyst,analista de soporte
consultor soporte,support consultant,consultor soporte
ingeniero de soporte,support engineer,ingeniero de soporte
maestro de apoyo,support teacher,maestro de apoyo
profesor apoyo escolar,support teacher,profesor apoyo escolar
profesor apoyo refuerzo,support teacher,profesor apoyo refuerzo
jefe servicio mantenimiento,support team manager,jefe servicio mantenimiento
tecnico de soporte de instalaciones,support technician,tecnico de soporte de instalaciones
tecnico soporte telecomunicaciones,support technician,tecnico soporte telecomunicaciones
adjunto cirugia,surgeon,adjunto cirugia
cirujano,surgeon,cirujano
medico cirujano,surgeon,medico cirujano
inspector de obras,surveyor,inspector de obras
administrador sistema informatico,system administrator,administrador sistema informatico
wintel system administrador,system administrator,wintel system administrador
administrador consultor sistemas,system analyst,administrador consultor sistemas
administrador sistemas analista programador,system analyst,administrador sistemas analista programador
analista sistemas programador,system analyst,analista sistemas programador
responsable sistema,system controller,responsable sistema
administrador sistemas desarrollador,system developer,administrador sistemas desarrollador
desarrollador de sistemas,system developer,desarrollador de sistemas
consultor ingeniero sistemas,system engineer consultant,consultor ingeniero sistemas
responsable de sistemas,system manager,responsable de sistemas
ingeniero sistemas seguridad,system security engineer,ingeniero sistemas seguridad
responsable sistemas seguridad,system security engineer,responsable sistemas seguridad
sistemas seguridad,system security engineer,sistemas seguridad
experto sistemas,systems,experto sistemas
administrador de sistemas,systems administrator,administrador de sistemas
administrador sistemas aix,systems administrator,administrador sistemas aix
administrador sistemas informaticos,systems administrator,administrador sistemas informaticos
administrador sistemas nivel,systems administrator,administrador sistemas nivel
administrador sistemas operativos,systems administrator,administrador sistemas operativos
administrador sistemas web,systems administrator,administrador sistemas web
administrador tecnico sistemas,systems administrator,administrador tecnico sistemas
adminsitrador de sistemas,systems administrator,adminsitrador de sistemas
tecnico administrador de sistemas,systems administrator,tecnico administrador de sistemas
anailsta de sistemas,systems analyst,anailsta de sistemas
analista de sistmeas,systems analyst,analista de sistmeas
analista funcional sistemas,systems analyst,analista funcional sistemas
analista sistemas comunicaciones,systems analyst,analista sistemas comunicaciones
asistente sistemas,systems assistant,asistente sistemas
consultor de sistemas,systems consultant,consultor de sistemas
coordinador de sistemas,systems coordinator,coordinador de sistemas
desarrollador tecnico sistemas,systems developer,desarrollador tecnico sistemas
responsable dpto sistemas,systems developer,responsable dpto sistemas
responsable procesos sistemas,systems developer,responsable procesos sistemas
tecnico sistemas desarrollo,systems developer,tecnico sistemas desarrollo
desarrollo sistemas,systems development,desarrollo sistemas
ingeniero desarrollo sistemas,systems development engineer,ingeniero desarrollo sistemas
gerente desarrollo sistemas,systems development manager,gerente desarrollo sistemas
jefe desarrollo sistemas,systems development manager,jefe desarrollo sistemas
responsable desarrollo sistemas,systems development manager,responsable desarrollo sistemas
ingeniero de sistemas,systems engineer,ingeniero de sistemas
agente integral de sistemas,systems integrator,agente integral de sistemas
integrador de sistemas,systems integrator,integrador de sistemas
jefe de sistemas,systems manager,jefe de sistemas
operador de sistemas,systems operator,operador de sistemas
operador sistemas redes,systems operator,operador sistemas redes
programador de sistemas,systems programmer,programador de sistemas
jefe de proyecto de sistemas,systems project manager,jefe de proyecto de sistemas
tecnico sistemas proyecto,systems project manager,tecnico sistemas proyecto
soporte tecnico sistemas,systems support,soporte tecnico sistemas
ingeniero soporte sistemas,systems support engineer,ingeniero soporte sistemas
administrador sistemas tecnico,systems technician,administrador sistemas tecnico
tecnico de sistemas,systems technician,tecnico de sistemas
tecnico de sistemas / analista programador,systems technician,tecnico de sistemas / analista programador
tecnico de sistemas y soporte,systems technician,tecnico de sistemas y soporte
tecnico mantenimiento sistemas,systems technician,tecnico mantenimiento sistemas
tecnico mantenimiento sistemas seguridad,systems technician,tecnico mantenimiento sistemas seguridad
ingeniero pruebas sistemas,systems test engineer,ingeniero pruebas sistemas
administrativo fiscal contable,tax accountant,administrativo fiscal contable
asesor fiscal contable laboral,tax accountant,asesor fiscal contable laboral
contable asesor fiscal,tax accountant,contable asesor fiscal
contable fiscal,tax accountant,contable fiscal
abogado asesor fiscal,tax advisor,abogado asesor fiscal
asesor de campana declaracion de la renta,tax advisor,asesor de campana declaracion de la renta
asesor fiscal tributario,tax advisor,asesor fiscal tributario
asesor laboral fiscal,tax advisor,asesor laboral fiscal
confeccionador declaraciones renta,tax advisor,confeccionador declaraciones renta
gestor campana declaracion de la renta,tax advisor,gestor campana declaracion de la renta
asesor fiscal,tax consultant,asesor fiscal
consultor asesor fiscal,tax consultant,consultor asesor fiscal
consultor fiscal,tax consultant,consultor fiscal
gestor impuestos,tax manager,gestor impuestos
gestor tributario,tax manager,gestor tributario
responsable contable fiscal,tax manager,responsable contable fiscal
responsable fiscal,tax manager,responsable fiscal
taxista,taxi driver,taxista
docente,teacher,docente
docente completo,teacher,docente completo
docente titular,teacher,docente titular
docente turismo,teacher,docente turismo
profesor,teacher,profesor
profesor orientador,teacher,profesor orientador
responsable docente,teacher,responsable docente
asistente de profesorado,teacher assistant,asistente de profesorado
diplomado en ciencias empresariales,teacher business studies,diplomado en ciencias empresariales
consultor docente,teacher consultant,consultor docente
profesor administrador,teacher coordinator,profesor administrador
profesor coordinador,teacher coordinator,profesor coordinador
maestro educador,teacher educator,maestro educador
pedagoga formador,teacher educator,pedagoga formador
profesor educador,teacher educator,profesor educador
profesor ingles monitor libre,teacher english drama,profesor ingles monitor libre
instructor docente,teacher instructor,instructor docente
profesor gestor,teacher manager,profesor gestor
personal investigador docente,teacher researcher,personal investigador docente
formador docentes,teacher trainer,formador docentes
docente certificado profesionalidad docencia formacion empleo,teacher training,docente certificado profesionalidad docencia formacion empleo
profesor traductor,teacher translator,profesor traductor
docente tutor,teacher tutor,docente tutor
profesor tutor,teacher tutor,profesor tutor
funcionaria docente,teaching,funcionaria docente
ayudante profesordo,teaching assistant,ayudante profesordo
coloborador docente,teaching assistant,coloborador docente
analista programador jefe equipo,team analyst,analista programador jefe equipo
coordinador de equipo,team coordinator,coordinador de equipo
coordinador equipo atencion,team coordinator,coordinador equipo atencion
coordinador equipo trabajo,team coordinator,coordinador equipo trabajo
coordinador equipos trabajo,team coordinator,coordinador equipos trabajo
coordinador jefe equipo,team coordinator,coordinador jefe equipo
jefe de equipo,team leader,jefe de equipo
jefe equipo atencion,team leader,jefe equipo atencion
jefe equipo topografia,team leader,jefe equipo topografia
oficial primera jefe de equipo,team leader,oficial primera jefe de equipo
responsable de equipo,team leader,responsable de equipo
responsable de equipos,team leader,responsable de equipos
responsable equipo desarrollo,team leader development,responsable equipo desarrollo
jefe area mantenimiento,team leader maintenance,jefe area mantenimiento
jefe servicios mantenimiento,team leader maintenance,jefe servicios mantenimiento
jefe mantenimiento produccion,team leader production,jefe mantenimiento produccion
gestor de equipo,team manager,gestor de equipo
jefe equipo analista programador,team manager,jefe equipo analista programador
jefe equipo fidelizacion,team manager,jefe equipo fidelizacion
jefe equipo oficial,team officer,jefe equipo oficial
supervisor equipo,team supervisor,supervisor equipo
asesormiento tecnico,technical,asesormiento tecnico
administrador tecnico,technical administrator,administrador tecnico
administrador tecnico informatico,technical administrator,administrador tecnico informatico
administrativo departamento tecnico,technical administrator,administrativo departamento tecnico
tecnico administracion,technical administrator,tecnico administracion
tecnico administrativo hh,technical administrator,tecnico administrativo hh
tecnico oficial administrativo,technical administrator,tecnico oficial administrativo
tenico administrativo,technical administrator,tenico administrativo
asesor tecnico calidad,technical adviser,asesor tecnico calidad
asesor tecnico,technical advisor,asesor tecnico
asesor tecnico telecomunicaciones,technical advisor,asesor tecnico telecomunicaciones
arquitecto tecnico,technical architect,arquitecto tecnico
arquitecto tecnico administrativo,technical architect,arquitecto tecnico administrativo
arquitecto tecnico proyectista,technical architect,arquitecto tecnico proyectista
tecnico asistencia viaje,technical assistance,tecnico asistencia viaje
auxiliar tecnico calidad,technical assistant,auxiliar tecnico calidad
ayudante tecnico medio ambiente,technical assistant,ayudante tecnico medio ambiente
tecnico negocio,technical business analyst,tecnico negocio
consultor tecnico,technical consultant,consultor tecnico
consultor tecnico comunicaciones,technical consultant,consultor tecnico comunicaciones
consultor tecnico medio ambiente,technical consultant,consultor tecnico medio ambiente
consultor tecnico seleccion,technical consultant,consultor tecnico seleccion
consultor tecnico telecomunicaciones,technical consultant,consultor tecnico telecomunicaciones
tecnico consultor medio ambiente,technical consultant,tecnico consultor medio ambiente
arquitecto tecnico coordinador seguridad,technical coordinator,arquitecto tecnico coordinador seguridad
coordinador dpto tecnico,technical coordinator,coordinador dpto tecnico
coordinador servicios tecnicos,technical coordinator,coordinador servicios tecnicos
coordinador tecnico,technical coordinator,coordinador tecnico
coordinador tecnico de mantenimiento,technical coordinator,coordinador tecnico de mantenimiento
coordinador tecnico proyecto,technical coordinator,coordinador tecnico proyecto
tecnico de seleccion en rrhh,technical coordinator,tecnico de seleccion en rrhh
tecnico empleo practicas,technical coordinator,tecnico empleo practicas
tecnico fondos europeos,technical coordinator,tecnico fondos europeos
tecnico inmuebles,technical coordinator,tecnico inmuebles
tecnico medios audiovisuales,technical coordinator,tecnico medios audiovisuales
tecnico organizacion procesos,technical coordinator,tecnico organizacion procesos
tecnico postproduccion sonido,technical coordinator,tecnico postproduccion sonido
tecnico prevencion coordinador seguridad salud,technical coordinator,tecnico prevencion coordinador seguridad salud
tecnico prevencion riesgos laborales coordinador seguridad salud,technical coordinator,tecnico prevencion riesgos laborales coordinador seguridad salud
tecnico prl coordinador seguridad salud,technical coordinator,tecnico prl coordinador seguridad salud
tecnico pruebas funcionales,technical coordinator,tecnico pruebas funcionales
tecnico punto familiar,technical coordinator,tecnico punto familiar
tecnico recambios,technical coordinator,tecnico recambios
tecnico sonido imagen,technical coordinator,tecnico sonido imagen
tecnico sonido microfonista,technical coordinator,tecnico sonido microfonista
tecnico sonido monitores,technical coordinator,tecnico sonido monitores
tecnico superior prevencion riesgos laborales coordinador seguridad salud,technical coordinator,tecnico superior prevencion riesgos laborales coordinador seguridad salud
ingeniero tecnico proyectista,technical designer,ingeniero tecnico proyectista
tecnico proyectista,technical designer,tecnico proyectista
desarrollador tecnico,technical developer,desarrollador tecnico
responsable tecnico desarrollo,technical development manager,responsable tecnico desarrollo
tecnico calidad desarrollo,technical development manager,tecnico calidad desarrollo
tecnico de unidad de promocion y desarrollo,technical development manager,tecnico de unidad de promocion y desarrollo
tecnico departamento desarrollo,technical development manager,tecnico departamento desarrollo
tecnico desarrollo aplicacion construccion,technical development manager,tecnico desarrollo aplicacion construccion
tecnico desarrollo aplicaciones,technical development manager,tecnico desarrollo aplicaciones
tecnico desarrollo empleo,technical development manager,tecnico desarrollo empleo
tecnico desarrollo hh,technical development manager,tecnico desarrollo hh
tecnico desarrollo sostenible,technical development manager,tecnico desarrollo sostenible
tecnico superior desarrollo aplicaciones web,technical development manager,tecnico superior desarrollo aplicaciones web
directo tecnico,technical director,directo tecnico
director de oficina tecnica,technical director,director de oficina tecnica
director dpto tecnico,technical director,director dpto tecnico
director tecnico,technical director,director tecnico
director tecnico sonido,technical director,director tecnico sonido
tecnico redactor,technical editor,tecnico redactor
empleado tecnico,technical employee,empleado tecnico
ingeniero departamento tecnico,technical engineer,ingeniero departamento tecnico
ingeniero tecnico,technical engineer,ingeniero tecnico
ingeniero tecnico estudios,technical engineer,ingeniero tecnico estudios
experto tecnico inmobiliario,technical expert,experto tecnico inmobiliario
tecnico trabajo campo,technical field engineer,tecnico trabajo campo
tecnico seguridad,technical health safety manager,tecnico seguridad
tecnico seguridad salud laboral,technical health safety manager,tecnico seguridad salud laboral
jefe de oficina tecnica,technical manager,jefe de oficina tecnica
jefe tecnico,technical manager,jefe tecnico
tecnico gestor,technical manager,tecnico gestor
oficial tecnico administrativo,technical officer,oficial tecnico administrativo
tecnico planificacion,technical planner,tecnico planificacion
jefe oficina tecnico produccion,technical production manager,jefe oficina tecnico produccion
